100 MILE HOUSE, BC = 51.643970 -121.295010
MANTARIO, SK = 51.261747 -109.691753
MANYBERRIES, AB = 49.401688 -110.693238
MAPLE CREEK, SK = 49.906595 -109.480174
MAPLE GLEN, NB = 47.025985 -65.725856
MAPLE GROVE, NB = 46.366667 -66.716667
MAPLE GROVE, NS = 45.266667 -63.533333
MAPLE GROVE, QC = 45.318810 -73.843440
MAPLE LEAF, ON = 51.176544 -115.571368
MAPLE RIDGE, BC = 49.219323 -122.598398
MAPLE RIDGE, NB = 46.098896 -67.215975
MAPLE VIEW, NB = 46.966667 -67.400000
MAPLE, ON = 43.851762 -79.527284
MAPLEDALE, NB = 46.100000 -67.666667
MAPLEHURST, NB = 46.600000 -67.700000
MAPLEWOOD, NB = 46.183333 -67.233333
MAQUAPIT LAKE, NB = 45.936138 -66.183837
MAR, ON = 44.815673 -81.209858
MARA, BC = 50.784014 -119.010515
MARATHON, ON = 48.716744 -86.382196
MARBLETON, QC = 45.628379 -71.585874
MARCELIN, SK = 52.927214 -106.791018
MARCHAND, MB = 49.448423 -96.391534
MARENGO, SK = 51.480335 -109.783867
MARGAREE CENTRE, NS = 46.347391 -60.999079
MARGAREE FORKS, NS = 46.332937 -61.096054
MARGAREE HARBOUR, NS = 46.432479 -61.106465
MARGAREE VALLEY, NS = 46.350000 -60.966667
MARGAREE, NS = 46.347391 -60.999079
MARGARET, MB = 49.405803 -99.857056
MARGARETSVILLE, NS = 45.048029 -65.064777
MARGO, SK = 51.826282 -103.335860
MARIA, QC = 48.175264 -65.986496
MARIAPOLIS, MB = 49.360666 -98.989520
MARICOURT, QC = 45.563621 -72.263751
MARIE JOSEPH, NS = 44.973051 -62.083593
MARIE REINE, AB = 56.076260 -117.289755
MARIEVILLE, QC = 45.432629 -73.160204
MARION BRIDGE, NS = 45.980573 -60.212696
MARIUS, MB = 50.548434 -98.649533
MARKDALE, ON = 44.318679 -80.647883
MARKERVILLE, AB = 52.123428 -114.164797
MARKHAM, ON = 43.856100 -79.337019
MARKHAMVILLE, NB = 45.610977 -65.451345
MARKINCH, SK = 50.938403 -104.360301
MARKSTAY, ON = 46.493497 -80.542462
MARLBANK, ON = 44.433441 -77.091758
MARMORA, ON = 44.482947 -77.682106
MARNE, NB = 45.900967 -67.489443
MARQUETTE, MB = 50.064842 -97.733261
MARQUIS, SK = 50.620364 -105.718487
MARRTOWN, NB = 45.850000 -65.666667
MARSDEN, SK = 52.839659 -109.823148
MARSH LAKE, YT = 60.516667 -134.333333
MARSHALL, SK = 53.193116 -109.778275
MARSOUI, QC = 49.214738 -66.067703
MARSTON, QC = 45.551747 -70.946732
MARTEN RIVER, ON = 46.733319 -79.801731
MARTENSVILLE, SK = 52.293121 -106.657838
MARTINTOWN, ON = 45.154592 -74.710634
MARTINVILLE, QC = 45.271610 -71.698571
MARWAYNE, AB = 53.516888 -110.331258
MARYFIELD, SK = 49.834833 -101.525670
MARYHILL, ON = 43.534516 -80.390667
MARYS HARBOUR, NL = 52.305190 -55.837402
MARYSTOWN, NL = 47.165075 -55.155530
MARYSVALE, NL = 47.490652 -53.218700
MARYSVILLE, ON = 44.193028 -76.438233
MASCARENE, NB = 45.100282 -66.904068
MASCOUCHE, QC = 45.777337 -73.632393
MASHTEUIATSH, QC = 48.576634 -72.229594
MASKINONGE, QC = 46.228109 -73.016475
MASSET, BC = 54.011458 -132.147198
MASSEY DRIVE, NL = 48.935079 -57.893577
MASSEY, ON = 46.212565 -82.077616
MASSUEVILLE, QC = 45.911798 -72.928225
MATACHEWAN, ON = 47.939202 -80.647396
MATAGAMI, QC = 49.758851 -77.625829
MATANE, QC = 48.844516 -67.530576
MATAPEDIA, QC = 47.984420 -66.970827
MATES CORNER, NB = 46.136326 -64.133325
MATHER, MB = 49.097244 -99.191699
MATHESON ISLAND, MB = 51.731394 -96.937001
MATHESON, ON = 48.533806 -80.464089
MATLOCK, MB = 46.317480 -78.702193
MATTAWA, ON = 46.317480 -78.702193
MATTHEWS SETTLEMENT, NB = 46.930147 -65.918129
MATTICE, ON = 49.624396 -83.374085
MAUGERVILLE, NB = 46.149225 -66.266707
MAVILLETTE, NS = 44.100811 -66.185220
MAXVILLE, ON = 45.288675 -74.854544
MAXWELL, NB = 45.900835 -67.700470
MAXWELL, ON = 44.309427 -80.396887
MAYERTHORPE, AB = 53.952501 -115.139726
MAYFAIR, SK = 52.984646 -107.600247
MAYFIELD, NB = 45.204014 -67.318893
MAYMONT, SK = 52.563019 -107.707445
MAYNE, BC = 48.838045 -123.287731
MAYNOOTH, ON = 45.230905 -77.938640
MAYO, QC = 45.701137 -75.318828
MAYO, YT = 63.594262 -135.896492
MAYVIEW, SK = 53.510716 -106.200690
MAZENOD, SK = 49.859816 -106.213029
MAZEROLLE SETTLEMENT, NB = 45.877001 -66.844547
MCADAM, NB = 45.595300 -67.325344
MCARTHURS MILLS, ON = 45.126109 -77.578669
MCAULEY, MB = 50.262407 -101.388408
MCBRIDE, BC = 53.301347 -120.168461
MCCALLUM SETTLEMENT, NS = 45.524884 -63.300377
MCCALLUM, NL = 47.633560 -56.231329
MCCORD, SK = 49.428186 -106.833335
MCCREARY, MB = 50.774615 -99.493734
MCDONALDS CORNERS, ON = 44.958169 -76.525914
MCGIVNEY, NB = 46.364448 -66.567199
MCGRATHS COVE, NS = 44.507850 -63.851459
MCGRAY, NS = 43.511776 -65.607327
MCGREGOR, ON = 42.146974 -82.967186
MCINTOSH HILL, NB = 46.497549 -64.737379
MCKEES MILLS, NB = 46.418504 -64.725037
MCKELLAR, ON = 45.471207 -79.849702
MCKENNA, NB = 46.214000 -67.509171
MCKENZIE CORNER, NB = 46.101404 -67.718070
MCKENZIE ISLAND, ON = 51.076339 -93.829048
MCKERROW, ON = 46.286028 -81.753230
MCKINLEYVILLE, NB = 46.868260 -65.664887
MCLAUGHLIN, AB = 52.991068 -110.165752
MCLAUGHLIN, NB = 46.900033 -67.485887
MCLEAN, SK = 52.415371 -122.289717
MCLEESE LAKE, BC = 52.415371 -122.289717
MCLENNAN, AB = 55.711785 -116.909981
MCLEOD HILL, NB = 46.023305 -66.687038
MCLEOD LAKE, BC = 54.993075 -123.043873
MCLEODS, NB = 48.018471 -66.573201
MCLURE, BC = 51.050000 -120.233333
MCMAHON, SK = 50.073955 -107.556039
MCMASTERVILLE, QC = 45.548874 -73.223393
MCNAMEE, NB = 46.504617 -66.290024
MCQUADE, NB = 54.350000 -111.700000
MCRAE, AB = 49.730286 -104.012184
MCTAGGART, SK = 48.214280 -78.909085
MCWATTERS, QC = 48.214280 -78.909085
MEACHAM, SK = 52.100418 -105.761042
MEADOW BROOK, NB = 46.101804 -64.585073
MEADOW CREEK, BC = 50.233333 -116.983333
MEADOW LAKE, SK = 54.131675 -108.428026
MEADOW PORTAGE, MB = 44.605944 -80.593687
MEAFORD, ON = 44.935109 -63.233782
MEAGHERS GRANT, NS = 44.935109 -63.233782
MEANDER RIVER, AB = 59.049135 -117.716673
MEATH PARK, SK = 53.442541 -105.368982
MECHANIC SETTLEMENT, NB = 46.866667 -67.683333
MEDFORD, NB = 46.866667 -67.683333
MEDICINE HAT, AB = 50.040549 -110.676426
MEDORA, MB = 49.255920 -100.695873
MEDSTEAD, SK = 53.298025 -108.080814
MEDUCTIC, NB = 45.992693 -67.480531
MEETING CREEK, AB = 52.680855 -112.730131
MELBOURNE, ON = 42.815939 -81.553470
MELBOURNE, QC = 45.927072 -83.114030
MELDRUM BAY, ON = 50.728621 -97.227908
MELEB, MB = 52.860839 -104.614297
MELFORT, SK = 49.272060 -100.993019
MELITA, MB = 45.316382 -73.933008
MELOCHEVILLE, QC = 45.316382 -73.933008
MELROSE, NB = 46.094665 -63.944101
MELROSE, NL = 48.475943 -53.077916
MELVILLE, NS = 45.788915 -63.027684
MELVILLE, SK = 50.929452 -102.804654
MEMBERTOU, NS = 46.115139 -60.189432
MEMRAMCOOK EAST, NB = 46.011111 -64.515278
MEMRAMCOOK, NB = 46.004431 -64.551309
MENDHAM, SK = 50.773224 -109.664966
MENISINO, MB = 49.084764 -96.135564
MENNEVAL, NB = 47.806074 -67.174652
MENZIE, MB = 50.531151 -100.491699
MEOTA, SK = 53.035378 -108.454717
MERCIER, QC = 45.311465 -73.743229
MERIGOMISH, NS = 45.630256 -62.431969
MERLIN, ON = 42.240958 -82.233038
MERRICKVILLE, ON = 44.845591 -75.810587
MERRITT, BC = 50.111308 -120.786222
MERVILLE, BC = 49.792430 -125.048460
MERVIN, SK = 53.335402 -108.875493
MESACHIE LAKE, BC = 48.808933 -124.124293
MESKANAW, SK = 46.245785 -76.002624
MESSINES, QC = 46.245785 -76.002624
METABETCHOUAN-LAC-A-LA-CROIX, QC = 48.431371 -71.866939
METCALFE, ON = 45.234041 -75.471828
METEGHAN CENTRE, NS = 44.196593 -66.147849
METEGHAN RIVER, NS = 44.218534 -66.099747
METEGHAN, NS = 44.187467 -66.162335
METIS-SUR-MER, QC = 52.404848 -110.633314
METISKOW, AB = 52.404848 -110.633314
MEYRONNE, SK = 49.669111 -106.839742
MEZIADIN LAKE, BC = 56.080782 -129.319029
MIAMI, MB = 49.369597 -98.239013
MICA CREEK, BC = 52.005900 -118.564275
MICMAC, NS = 44.694277 -63.553285
MIDALE, SK = 49.395933 -103.411051
MIDDLE ARM GB, NL = 51.465607 -57.497590
MIDDLE BAY, QC = 51.465607 -57.497590
MIDDLE CAPE, NS = 45.867189 -60.614869
MIDDLE COVE, NL = 47.640416 -52.686534
MIDDLE HAINESVILLE, NB = 46.072831 -67.073028
MIDDLE LAHAVE, NS = 44.321199 -64.407971
MIDDLE LAKE, SK = 52.481399 -105.302798
MIDDLE MUSQUODOBOIT, NS = 45.045390 -63.143283
MIDDLE PORTERS LAKE, NS = 44.700758 -63.303169
MIDDLE RIVER, NB = 47.579792 -65.767848
MIDDLE SACKVILLE, NB = 45.916667 -64.366667
MIDDLE SACKVILLE, NS = 44.808074 -63.726789
MIDDLE STEWIACKE, NS = 45.227467 -63.132776
MIDDLE WEST PUBNICO, NS = 43.649118 -65.803402
MIDDLEBRO, MB = 49.019135 -95.441014
MIDDLETON, NB = 45.916667 -64.516667
MIDDLETON, NS = 44.942628 -65.068772
MIDDLEWOOD, NS = 44.235550 -64.569397
MIDGIC, NB = 45.990826 -64.297619
MIDHURST, ON = 44.447137 -79.730216
MIDLAND KINGS CO, NB = 45.661890 -65.797845
MIDLAND QUEENS CO, NB = 46.161289 -65.990817
MIDLAND, ON = 44.749516 -79.892192
MIDVILLE BRANCH, NS = 44.416667 -64.633333
MIDWAY, BC = 49.010219 -118.774354
MIDWAY, NB = 45.680799 -64.769478
MIGISI SAHGAIGAN, ON = 49.731944 -93.054444
MIKADO, SK = 51.610541 -102.269533
MILAN, QC = 45.581950 -71.170131
MILDEN, SK = 51.486953 -107.521407
MILDMAY, ON = 44.042402 -81.118980
MILDRED, SK = 53.350572 -107.342135
MILES COVE, NL = 49.540432 -55.782562
MILESTONE, SK = 49.991526 -104.515755
MILFORD BAY, ON = 45.075669 -79.478278
MILFORD STATION, NS = 45.051442 -63.432244
MILFORD, NS = 45.040354 -63.416475
MILFORD, ON = 43.935103 -77.090910
MILK RIVER, AB = 49.150126 -112.086912
MILL BAY, BC = 45.693287 -65.462198
MILL BROOK, NB = 45.693287 -65.462198
MILL COVE, NB = 45.882497 -66.004704
MILL CREEK, NS = 46.283949 -60.300450
MILL VILLAGE, NS = 44.145271 -64.648779
MILL VILLAGE., NS = 44.145271 -64.648779
MILLARVILLE, AB = 50.756631 -114.325876
MILLBANK, ON = 43.569590 -80.834595
MILLBROOK, NS = 45.334625 -63.289081
MILLBROOK, ON = 44.150550 -78.448868
MILLE-ISLES, QC = 45.101532 -81.443349
MILLER LAKE, ON = 46.907474 -65.629319
MILLERTON, NB = 46.907474 -65.629319
MILLERTOWN, NL = 48.813138 -56.541619
MILLET, AB = 53.092082 -113.470283
MILLGROVE, ON = 43.336296 -79.958126
MILLICENT, AB = 50.710068 -111.781865
MILLTOWN, NL = 47.904306 -55.768211
MILLVILLE, NB = 46.130794 -67.198563
MILLVILLE, NS = 44.995844 -64.816990
MILNER, BC = 50.569985 -112.882131
MILO, AB = 44.060714 -64.750690
MILTON, NS = 44.060714 -64.750690
MILTON, ON = 43.518299 -79.877404
MILVERTON, ON = 43.565810 -80.922165
MIMINEGASH, PE = 46.879407 -64.226970
MINAKI, ON = 49.980742 -94.671689
MINBURN, AB = 53.315255 -111.366313
MINDEMOYA, ON = 45.732413 -82.167311
MINDEN, ON = 44.927177 -78.725375
MINE CENTRE, ON = 48.766920 -92.616946
MINESING, ON = 45.163195 -79.653259
MINETT, ON = 45.163195 -79.653259
MINEVILLE, NS = 44.697312 -63.382614
MINGS BIGHT, NL = 49.976055 -56.044652
MINIOTA, MB = 50.142719 -101.034637
MINISTERS ISLAND, NB = 45.110162 -67.042337
MINITONAS, MB = 52.086164 -101.037360
MINNEDOSA, MB = 50.247038 -99.838649
MINNITAKI, ON = 49.815641 -93.086605
MINSTREL ISLAND, BC = 50.620289 -126.323105
MINTO, MB = 49.406784 -100.023938
MINTO, NB = 46.076164 -66.074910
MINTON, SK = 49.164898 -104.586658
MIQUELON, QC = 49.400000 -76.450000
MIRA GUT, NS = 46.038929 -59.968165
MIRA ROAD, NS = 46.108533 -60.160071
MIRABEL, QC = 45.651896 -74.090170
MIRAMICHI BAY, NB = 47.029571 -65.505906
MIRAMICHI ROAD, NB = 47.560811 -65.566208
MIRAMICHI, NB = 47.029571 -65.505906
MIRROR, AB = 52.464695 -113.111680
MISCOU, NB = 47.960439 -64.519517
MISCOUCHE, PE = 46.432269 -63.868025
MISPEC, NB = 45.215174 -65.944274
MISSANABIE, ON = 48.316667 -84.083333
MISSION, BC = 49.132927 -122.326160
MISSISSAUGA, ON = 43.589045 -79.644120
MISSISSIPPI STATION, ON = 44.916667 -76.683333
MISTATIM, SK = 52.870778 -103.371055
MISTISSINI, QC = 50.418441 -73.873727
MITCHELL, MB = 49.534167 -96.761955
MITCHELL, ON = 43.467803 -81.196866
MOBERLY LAKE, BC = 55.823332 -121.788887
MOBERT, ON = 48.683333 -85.633333
MOBILE, NL = 47.244894 -52.841021
MOFFAT, ON = 43.505181 -80.057950
MOFFET, QC = 47.550477 -78.948134
MOHANNES, NB = 45.155877 -67.348207
MOISIE, QC = 50.191194 -66.100062
MOLEGA LAKE, NS = 44.362126 -64.824857
MONARCH, AB = 45.607849 -61.612867
MONASTERY, NS = 46.087817 -64.778231
MONCTON, NB = 46.162419 -80.359436
MONETVILLE, ON = 46.162419 -80.359436
MONITOR, AB = 51.968930 -110.575344
MONKLAND, ON = 45.472406 -73.620259
MONKSTOWN, NL = 47.585134 -54.425632
MONKTON, ON = 43.586980 -81.081894
MONQUART, NB = 46.550000 -67.600000
MONT NEBO, SK = 53.283545 -106.851212
MONT-BRUN, QC = 48.371196 -78.717041
MONT-CARMEL, QC = 47.439827 -69.858590
MONT-JOLI, QC = 46.550413 -75.496031
MONT-LAURIER, QC = 49.229456 -65.730698
MONT-LOUIS, QC = 49.229456 -65.730698
MONT-ROYAL, QC = 45.512582 -73.646831
MONT-SAINT-GREGOIRE, QC = 45.328823 -73.159594
MONT-SAINT-HILAIRE, QC = 45.564042 -73.179013
MONT-SAINT-MICHEL, QC = 46.780000 -75.338092
MONT-SAINT-PIERRE, QC = 49.222210 -65.807059
MONT-TREMBLANT, QC = 46.118462 -74.596185
MONTAGUE GOLD MINES, NS = 44.718533 -63.513421
MONTAGUE, PE = 46.165066 -62.648021
MONTBEILLARD, QC = 48.039925 -79.252110
MONTCALM, QC = 45.968295 -74.501456
MONTCERF-LYTTON, QC = 46.577298 -76.077271
MONTE CREEK, BC = 50.648940 -119.956431
MONTE LAKE, BC = 50.526671 -119.827305
MONTEAGLE, NB = 46.091626 -65.105409
MONTEBELLO, QC = 45.651949 -74.940872
MONTEITH, ON = 48.643678 -80.680449
MONTMAGNY, QC = 46.980103 -70.556572
MONTMARTRE, SK = 50.219361 -103.448307
MONTNEY, BC = 56.450045 -120.926468
MONTPELLIER, QC = 45.925124 -75.253489
MONTREAL LAKE, SK = 54.045700 -105.780013
MONTREAL RIVER HARBOUR, ON = 47.233333 -84.650000
MONTREAL, QC = 45.501689 -73.567256
MONTREAL-EST, QC = 45.632000 -73.506698
MONTREAL-NORD, QC = 45.607198 -73.631474
MONTREAL-OUEST, QC = 45.452484 -73.647513
MONTROSE, BC = 49.078972 -117.592365
MONUMENT, NB = 45.951242 -67.764157
MOONBEAM, ON = 49.343157 -82.154133
MOONSTONE, ON = 44.655290 -79.663757
MOOREFIELD, ON = 45.291953 -67.278779
MOORES MILLS, NB = 42.841847 -82.461736
MOORETOWN, ON = 45.261025 -74.970139
MOOSE CREEK, ON = 51.262486 -80.592965
MOOSE FACTORY, ON = 50.391581 -105.534856
MOOSE JAW, SK = 50.391581 -105.534856
MOOSE LAKE, MB = 53.704560 -100.310932
MOOSE MOUNTAIN, NB = 46.616667 -67.616667
MOOSEHORN CREEK, NB = 45.600429 -65.632911
MOOSEHORN, MB = 44.950000 -62.800000
MOOSELAND, NS = 50.143567 -101.666828
MOOSOMIN, SK = 50.143567 -101.666828
MOOSONEE, ON = 51.273089 -80.640049
MORDEN, MB = 49.192329 -98.097732
MORELL, PE = 46.415989 -62.705970
MORETONS HARBOUR, NL = 49.566667 -54.866667
MOREWOOD, ON = 45.177751 -75.284747
MORIN-HEIGHTS, QC = 45.903826 -74.245745
MORINVILLE, AB = 51.161543 -114.850968
MORLEY, AB = 42.392971 -81.842971
MORPETH, ON = 42.392971 -81.842971
MORRELL SIDING, NB = 46.850000 -67.700000
MORRIN, AB = 51.660251 -112.764935
MORRIS, MB = 49.354483 -97.364688
MORRISBURG, ON = 45.382070 -66.216365
MORRISDALE, NB = 45.382070 -66.216365
MORRISTON, ON = 43.448287 -80.117193
MORSE, SK = 49.097745 -94.315207
MORSON, ON = 49.097745 -94.315207
MORTLACH, SK = 44.969795 -62.256454
MOSER RIVER, NS = 44.969795 -62.256454
MOSSBANK, SK = 49.938840 -105.964435
MOSSLEIGH, AB = 50.717918 -113.325070
MOSSLEY, ON = 42.946187 -81.011828
MOUNT ALBERT, ON = 44.136076 -79.308339
MOUNT ARLINGTON HEIGHTS, NL = 47.432430 -53.816210
MOUNT BRYDGES, ON = 42.909684 -81.495860
MOUNT CARMEL, NL = 50.248333 -122.781944
MOUNT CURRIE, BC = 50.248333 -122.781944
MOUNT DELIGHT, NB = 46.367389 -67.632895
MOUNT ELGIN, ON = 42.958516 -80.792467
MOUNT FOREST, ON = 43.981093 -80.735865
MOUNT HEBRON, NB = 45.816667 -65.499994
MOUNT HOPE, NB = 46.053837 -66.506254
MOUNT HOPE, ON = 43.154818 -79.915294
MOUNT MORIAH, NL = 48.968208 -58.041939
MOUNT PEARL, NL = 47.520641 -52.807682
MOUNT PISGAH, NB = 45.820597 -65.428260
MOUNT PLEASANT, NB = 46.400000 -67.483333
MOUNT PLEASANT, ON = 43.681467 -79.813770
MOUNT STEWART, PE = 46.365801 -62.866859
MOUNT UNIACKE, NS = 44.735743 -76.845449
MOUNTAIN GROVE, ON = 50.446397 -99.655906
MOUNTAIN ROAD, MB = 49.132391 -113.600239
MOUNTAIN VIEW, AB = 49.132391 -113.600239
MOUNTAIN, ON = 49.288053 -115.833511
MOYIE, BC = 49.288053 -115.833511
MOZART, SK = 51.777877 -103.990375
MT MIDDLETON, NB = 45.783333 -65.550000
MUD LAKE, NL = 53.306542 -60.167607
MUENSTER, SK = 52.189804 -104.995397
MUIRKIRK, ON = 42.514738 -81.772942
MULGRAVE, NS = 45.611854 -61.391729
MULGRAVE-ET-DERRY, QC = 45.771399 -75.412521
MULHURST BAY, AB = 53.050862 -114.000320
MULLINGAR, SK = 53.081472 -107.659961
MULVIHILL, MB = 50.963696 -98.181532
MUNCEY, ON = 42.820147 -81.440304
MUNCHO LAKE, BC = 58.926463 -125.771076
MUNDARE, AB = 53.595983 -112.343201
MUNDLEVILLE, NB = 46.585942 -64.916287
MUNIAC, NB = 46.616667 -67.700000
MUNSON, AB = 51.563076 -112.740398
MUNSTER, ON = 48.959142 -65.494973
MURDOCHVILLE, QC = 48.959142 -65.494973
MURILLO, ON = 48.411912 -89.502481
MURRAY CORNER, NB = 46.002013 -62.519883
MURRAY HARBOUR, PE = 46.002013 -62.519883
MURRAY RIVER, PE = 46.013725 -62.610740
MURRAY SETTLEMENT, NB = 46.841793 -65.441158
MURRAY SIDING, NS = 45.367873 -63.212542
MUSGRAVE HARBOUR, NL = 49.451893 -53.959540
MUSGRAVETOWN, NL = 53.687544 -111.582357
MUSIDORA, AB = 53.088476 -105.490404
MUSKODAY, SK = 53.386598 -91.812052
MUSKRAT DAM, ON = 45.059363 -66.360103
MUSQUASH, NB = 45.059363 -66.360103
MUSQUODOBOIT HARBOUR, NS = 44.787241 -63.148104
MUTTON BAY, QC = 50.772916 -59.028645
MYRNAM, AB = 53.660890 -111.229559
NACKAWIC, NB = 51.469213 -112.788258
NACMINE, AB = 52.420112 -104.498470
NAICAM, SK = 56.541682 -61.696888
NAIN, NL = 46.330765 -81.582477
NAIRN CENTRE, ON = 49.681330 -86.943759
NAKINA, ON = 50.239854 -117.801106
NAKUSP, BC = 53.716051 -113.492173
NAMAO, AB = 56.037732 -117.132788
NAMPA, AB = 45.889997 -74.916613
NAMUR, QC = 49.165884 -123.940065
NANAIMO, BC = 49.272317 -124.193053
NANOOSE BAY, BC = 49.272317 -124.193053
NANTES, QC = 45.634764 -71.021423
NANTICOKE, ON = 50.346336 -113.774672
NANTON, AB = 46.411866 -66.933602
NAPADOGAN, NB = 47.006174 -65.420880
NAPAN, NB = 47.006174 -65.420880
NAPANEE, ON = 44.214838 -76.964306
NAPIERVILLE, QC = 45.186486 -73.405115
NAPINKA, MB = 45.769283 -64.239663
NAPPAN, NS = 49.596295 -119.595654
NARAMATA, BC = 49.596295 -119.595654
NARCISSE, MB = 50.684006 -97.530809
NASH CREEK, NB = 47.922468 -66.081390
NASHWAAK BRIDGE, NB = 46.241273 -66.607768
NASHWAAK VILLAGE, NB = 46.095672 -66.611553
NASONWORTH, NB = 45.839452 -66.679761
NASS CAMP, BC = 55.282358 -128.993152
NATASHQUAN, QC = 50.194501 -61.831508
NATUASHISH, NL = 55.916801 -61.129118
NAUGHTON, ON = 45.472522 -65.894494
NAUWIGEWAUK, NB = 45.472522 -65.894494
NAVAN, ON = 45.421034 -75.426725
NEDELEC, QC = 47.786013 -79.369485
NEEBING, ON = 48.188564 -89.462449
NEEPAWA, MB = 50.227704 -99.466771
NEERLANDIA, AB = 54.319408 -114.376351
NEGGINAN, MB = 47.255305 -65.070886
NEGUAC, NB = 47.255305 -65.070886
NEIDPATH, SK = 50.223454 -107.244156
NEILBURG, SK = 52.837187 -109.629743
NEILS HARBOUR, NS = 46.533333 -66.183333
NELSON HOLLOW, NB = 49.492812 -117.294834
NELSON HOUSE, MB = 49.492812 -117.294834
NELSON, BC = 51.483333 -123.883333
NEMAIAH VALLEY, BC = 51.483333 -123.883333
NEMISCAU, QC = 51.311690 -76.896618
NEPEAN, ON = 45.334905 -75.724101
NEPISIGUIT FALLS, NB = 47.419653 -65.814009
NEREPIS, NB = 45.395361 -66.289738
NESBITT, MB = 49.601500 -99.862764
NESTLETON STATION, ON = 44.140159 -78.793657
NESTOR FALLS, ON = 49.111040 -93.926180
NESTOW, AB = 54.238594 -113.593456
NETHERHILL, SK = 51.474756 -108.858396
NEUDORF, SK = 50.713132 -103.012132
NEUSTADT, ON = 44.078197 -81.001548
NEUVILLE, QC = 46.696840 -71.591027
NEVILLE, SK = 49.961727 -107.627529
NEVIS, AB = 52.332274 -113.027851
NEW AVON, NB = 46.071002 -66.100670
NEW BANDON GLOUCESTER CO, NB = 47.758785 -65.326567
NEW BANDON NORTHUMB CO, NB = 46.550911 -66.130356
NEW BOTHWELL, MB = 49.590811 -96.889185
NEW BRIGDEN, AB = 51.701690 -110.485180
NEW CAMPBELLTON, NS = 46.067361 -65.364532
NEW CANAAN, NB = 44.478429 -64.680166
NEW CANADA, NS = 48.009723 -65.333814
NEW CARLISLE, QC = 48.009723 -65.333814
NEW CHELSEA, NL = 49.426747 -112.379434
NEW DAYTON, AB = 49.426747 -112.379434
NEW DENMARK, NB = 46.994325 -67.591414
NEW DENVER, BC = 49.991290 -117.372071
NEW DUNDEE, ON = 43.349668 -80.533184
NEW ENGLAND SETTLEMENT, NB = 46.077446 -66.097073
NEW GERMANY, NS = 44.545546 -64.728763
NEW GLASGOW, NS = 45.587170 -62.645119
NEW GLASGOW, PE = 46.410980 -63.349103
NEW HAMBURG, ON = 43.379459 -80.711106
NEW HARBOUR TB, NL = 46.253358 -60.486516
NEW HARRIS, NS = 46.816667 -60.333333
NEW HAVEN, NS = 46.816667 -60.333333
NEW HAZELTON, BC = 55.247553 -127.591578
NEW HORTON, NB = 45.668609 -64.726715
NEW JERSEY, NB = 47.160179 -65.243820
NEW LINE, NB = 45.690983 -65.485844
NEW LISKEARD, ON = 47.503664 -79.697881
NEW LOWELL, ON = 44.358107 -79.972716
NEW MARKET, NB = 45.824990 -66.919051
NEW MARYLAND, NB = 45.890995 -66.684824
NEW MELBOURNE, NL = 47.966804 -66.182084
NEW MILLS, NB = 47.966804 -66.182084
NEW MINAS, NS = 45.072342 -64.445745
NEW NORWAY, AB = 52.868854 -112.950840
NEW PERLICAN, NL = 48.162118 -65.856769
NEW RICHMOND, QC = 48.162118 -65.856769
NEW RIVER BEACH, NB = 44.737014 -64.456651
NEW ROSS, NS = 46.237943 -64.949737
NEW SCOTLAND, NB = 46.237943 -64.949737
NEW SONGHEES 1A, BC = 48.446731 -123.421256
NEW VICTORIA, NS = 46.253055 -60.091802
NEW WATERFORD, NS = 46.253055 -60.091802
NEW WESTMINSTER, BC = 49.205718 -122.910956
NEW ZION, NB = 46.054974 -66.101807
NEWBORO, ON = 44.650287 -76.319731
NEWBRIDGE, NB = 46.158037 -67.499607
NEWBROOK, AB = 54.326111 -112.950902
NEWBURG, NB = 44.325776 -76.877355
NEWBURGH, ON = 42.684470 -81.797839
NEWBURY, ON = 42.684470 -81.797839
NEWCASTLE CENTRE, NB = 46.081461 -65.985981
NEWCASTLE CREEK, NB = 46.057607 -66.009838
NEWCASTLE, ON = 43.917773 -78.587485
NEWCOMBVILLE, NS = 50.351669 -100.203663
NEWDALE, MB = 45.117371 -75.012052
NEWINGTON, ON = 48.583333 -53.200000
NEWMANS COVE, NL = 44.059187 -79.461256
NEWMARKET, ON = 44.963307 -64.057001
NEWPORT STATION, NS = 44.963307 -64.057001
NEWPORT, NS = 44.965399 -63.977103
NEWPORT, QC = 45.410659 -71.425838
NEWTON SIDING, MB = 49.127944 -122.862239
NEWTON, ON = 43.938858 -78.492584
NEWTONVILLE, ON = 43.938858 -78.492584
NEWTOWN, NB = 49.203872 -53.514768
NEWTOWN, NL = 49.203872 -53.514768
NEWTOWN, NS = 45.365392 -62.135402
NIAGARA FALLS, ON = 43.254999 -79.077262
NIAGARA ON THE LAKE, ON = 43.254999 -79.077262
NICHOLAS DENYS, NB = 47.698759 -65.880463
NICOLET, QC = 46.227406 -72.619174
NICTAU, NB = 47.234024 -67.154520
NIGADOO, NB = 47.739535 -65.712695
NIMPO LAKE, BC = 45.041538 -63.576942
NINE MILE RIVER, NS = 49.399497 -99.630607
NINETTE, MB = 49.226898 -99.888953
NINGA, MB = 49.226898 -99.888953
NIPAWIN, SK = 53.362353 -104.013005
NIPIGON, ON = 49.015735 -88.268316
NIPISSING, ON = 46.097228 -79.515361
NIPPERS HARBOUR, NL = 49.792846 -55.860489
NISKU, AB = 53.337357 -113.524002
